participant_id,program,age_group,community,early_engagement,mid_engagement,late_engagement,engagement_slope,engagement_volatility,trajectory_label,reversal_risk_label,early_warning_label,baseline_habit_strength,convenience,social_norm,environmental_fit,motivation,competing_demands,habit_persistence,feedback_visibility,incentive_strength,support_quality,life_event_week
45,healthy_eating,18-25,suburban,0.798,0.862,0.765,-0.002,0.053,sustained,0,0,0.53,0.575,0.605,0.433,0.717,0.324,0.669,0.781,0.532,0.746,0
46,healthy_eating,26-40,urban,0.721,0.822,0.679,-0.0029,0.077,sustained,0,0,0.287,0.558,0.568,0.468,0.498,0.151,0.519,0.626,0.46,0.901,0
47,public_transport,18-25,suburban,0.841,0.836,0.689,-0.0088,0.067,sustained,0,0,0.748,0.698,0.252,0.42,0.367,0.314,0.421,0.886,0.744,0.564,0
48,digital_wellbeing,26-40,urban,0.865,0.849,0.754,-0.0061,0.046,sustained,0,0,0.829,0.736,0.847,0.648,0.524,0.516,0.492,0.501,0.329,0.876,19
49,public_transport,41-60,urban,0.732,0.654,0.382,-0.0196,0.137,reverted,1,0,0.761,0.088,0.529,0.909,0.543,0.385,0.798,0.089,0.303,0.578,0
50,public_transport,26-40,urban,0.86,0.848,0.717,-0.0081,0.061,sustained,0,0,0.822,0.633,0.787,0.316,0.192,0.484,0.281,0.714,0.576,0.505,19
51,healthy_eating,41-60,suburban,0.744,0.816,0.619,-0.007,0.088,sustained,0,0,0.369,0.338,0.84,0.835,0.626,0.252,0.897,0.348,0.447,0.714,0
52,public_transport,41-60,urban,0.645,0.737,0.602,-0.0027,0.089,sustained,0,0,0.142,0.573,0.713,0.457,0.534,0.448,0.261,0.21,0.722,0.148,0
53,public_transport,41-60,urban,0.769,0.809,0.698,-0.0049,0.06,sustained,0,0,0.52,0.767,0.328,0.597,0.768,0.634,0.55,0.403,0.885,0.363,0
54,recycling,18-25,suburban,0.744,0.882,0.714,-0.0022,0.099,sustained,0,0,0.212,0.785,0.477,0.81,0.626,0.206,0.965,0.868,0.841,0.904,0
55,public_transport,41-60,suburban,0.729,0.904,0.829,0.0053,0.103,sustained,0,0,0.134,0.619,0.499,0.44,0.805,0.252,0.395,0.796,0.463,0.623,0
56,recycling,18-25,rural,0.741,0.788,0.533,-0.0124,0.105,faded,1,0,0.544,0.52,0.285,0.672,0.159,0.239,0.607,0.542,0.549,0.66,0
57,fitness,18-25,rural,0.669,0.774,0.629,-0.0025,0.083,sustained,0,0,0.218,0.86,0.593,0.873,0.377,0.306,0.968,0.689,0.973,0.467,0
58,fitness,41-60,rural,0.662,0.64,0.421,-0.0138,0.108,faded,1,0,0.409,0.6,0.563,0.506,0.599,0.865,0.729,0.429,0.525,0.696,8
59,recycling,26-40,suburban,0.771,0.729,0.423,-0.0194,0.141,faded,1,0,0.725,0.401,0.529,0.415,0.531,0.487,0.402,0.268,0.423,0.217,19
60,digital_wellbeing,26-40,urban,0.802,0.797,0.556,-0.0137,0.105,sustained,0,0,0.706,0.367,0.793,0.452,0.85,0.673,0.795,0.457,0.59,0.766,0
61,fitness,18-25,urban,0.632,0.759,0.566,-0.0045,0.11,sustained,0,0,0.051,0.746,0.417,0.345,0.136,0.397,0.374,0.882,0.793,0.774,0
62,digital_wellbeing,26-40,urban,0.693,0.6,0.276,-0.0235,0.167,reverted,1,1,0.622,0.398,0.356,0.718,0.511,0.936,0.239,0.447,0.79,0.227,17
63,healthy_eating,26-40,suburban,0.662,0.749,0.482,-0.0104,0.12,inconsistent,0,0,0.218,0.78,0.126,0.815,0.377,0.556,0.569,0.786,0.604,0.557,0
64,fitness,26-40,suburban,0.678,0.734,0.44,-0.013,0.122,faded,1,0,0.307,0.572,0.529,0.698,0.603,0.463,0.831,0.807,0.411,0.279,0
65,public_transport,26-40,rural,0.682,0.63,0.342,-0.0194,0.139,reverted,1,0,0.612,0.514,0.281,0.403,0.663,0.771,0.554,0.258,0.35,0.572,0
66,recycling,60+,suburban,0.705,0.878,0.746,0.002,0.107,sustained,0,0,0.086,0.797,0.774,0.068,0.951,0.225,0.848,0.866,0.83,0.686,0
67,fitness,60+,rural,0.722,0.77,0.603,-0.0071,0.067,sustained,0,0,0.56,0.63,0.406,0.354,0.656,0.595,0.498,0.391,0.094,0.76,0
68,fitness,26-40,urban,0.718,0.902,0.844,0.0068,0.109,sustained,0,0,0.077,0.65,0.343,0.641,0.947,0.072,0.591,0.871,0.564,0.62,0
69,healthy_eating,26-40,urban,0.765,0.779,0.593,-0.0102,0.086,sustained,0,0,0.556,0.514,0.596,0.432,0.726,0.273,0.682,0.621,0.803,0.539,8
70,public_transport,26-40,urban,0.787,0.769,0.613,-0.0103,0.079,sustained,0,0,0.686,0.69,0.687,0.527,0.607,0.604,0.774,0.805,0.686,0.661,7
71,healthy_eating,26-40,urban,0.659,0.753,0.553,-0.0064,0.092,sustained,0,0,0.241,0.554,0.317,0.598,0.548,0.482,0.704,0.426,0.467,0.571,0
72,recycling,26-40,urban,0.729,0.781,0.532,-0.0115,0.106,faded,1,0,0.42,0.934,0.737,0.512,0.115,0.199,0.745,0.567,0.459,0.769,0
73,fitness,26-40,urban,0.758,0.855,0.646,-0.0066,0.097,sustained,0,0,0.332,0.727,0.947,0.351,0.697,0.409,0.271,0.75,0.472,0.234,0
74,digital_wellbeing,41-60,suburban,0.789,0.874,0.735,-0.0033,0.067,sustained,0,0,0.487,0.156,0.603,0.826,0.913,0.255,0.347,0.361,0.172,0.843,0
75,healthy_eating,18-25,rural,0.651,0.73,0.458,-0.0113,0.112,faded,1,0,0.349,0.765,0.922,0.185,0.679,0.575,0.713,0.274,0.19,0.439,0
76,fitness,26-40,suburban,0.644,0.663,0.415,-0.0132,0.104,reverted,1,0,0.518,0.493,0.541,0.738,0.311,0.742,0.416,0.552,0.143,0.403,0
77,recycling,18-25,urban,0.858,0.829,0.619,-0.0136,0.098,sustained,0,0,0.851,0.78,0.607,0.411,0.894,0.319,0.831,0.6,0.669,0.244,0
78,digital_wellbeing,41-60,suburban,0.809,0.78,0.466,-0.0197,0.142,faded,1,0,0.85,0.786,0.266,0.703,0.514,0.781,0.591,0.631,0.299,0.8,17
79,recycling,41-60,suburban,0.764,0.741,0.467,-0.0166,0.124,faded,1,0,0.654,0.639,0.74,0.427,0.229,0.545,0.78,0.439,0.606,0.85,19
80,healthy_eating,60+,suburban,0.705,0.615,0.432,-0.0156,0.109,faded,1,1,0.84,0.468,0.462,0.314,0.325,0.501,0.79,0.59,0.469,0.581,0
81,recycling,41-60,rural,0.745,0.706,0.429,-0.0182,0.132,faded,1,0,0.715,0.647,0.107,0.632,0.602,0.535,0.729,0.812,0.63,0.34,0
82,healthy_eating,26-40,urban,0.803,0.731,0.465,-0.0187,0.132,faded,1,0,0.801,0.442,0.445,0.779,0.561,0.402,0.693,0.467,0.513,0.651,0
83,healthy_eating,41-60,suburban,0.719,0.766,0.595,-0.0072,0.078,sustained,0,0,0.461,0.473,0.478,0.693,0.518,0.624,0.191,0.619,0.549,0.643,0
84,public_transport,26-40,urban,0.711,0.562,0.354,-0.0199,0.14,reverted,1,1,0.842,0.681,0.485,0.677,0.206,0.928,0.684,0.217,0.706,0.547,20
85,recycling,41-60,rural,0.86,0.806,0.495,-0.0206,0.148,faded,1,0,0.833,0.865,0.23,0.763,0.193,0.205,0.64,0.559,0.557,0.25,0
86,fitness,18-25,suburban,0.649,0.76,0.639,-0.0009,0.09,sustained,0,0,0.059,0.504,0.785,0.27,0.814,0.77,0.835,0.714,0.793,0.767,0
87,fitness,26-40,suburban,0.767,0.911,0.808,0.002,0.085,sustained,0,0,0.274,0.741,0.684,0.938,0.445,0.196,0.522,0.855,0.733,0.702,0
88,healthy_eating,18-25,urban,0.661,0.692,0.559,-0.006,0.068,sustained,0,0,0.389,0.859,0.417,0.326,0.425,0.305,0.739,0.445,0.581,0.196,0
89,public_transport,26-40,urban,0.681,0.602,0.437,-0.0138,0.098,faded,1,1,0.715,0.905,0.461,0.437,0.06,0.657,0.492,0.228,0.847,0.419,0
90,fitness,26-40,suburban,0.581,0.641,0.321,-0.0156,0.139,reverted,1,0,0.226,0.34,0.876,0.617,0.362,0.354,0.678,0.099,0.684,0.321,0
91,recycling,26-40,urban,0.718,0.749,0.518,-0.0117,0.102,faded,1,0,0.445,0.192,0.119,0.629,0.375,0.402,0.483,0.275,0.577,0.82,0
92,healthy_eating,26-40,urban,0.712,0.691,0.393,-0.0179,0.135,reverted,1,0,0.52,0.52,0.187,0.615,0.278,0.223,0.347,0.175,0.761,0.519,0
93,fitness,26-40,urban,0.603,0.687,0.44,-0.0096,0.102,inconsistent,0,0,0.253,0.408,0.19,0.751,0.172,0.125,0.555,0.26,0.392,0.61,0
94,healthy_eating,26-40,urban,0.611,0.703,0.54,-0.0041,0.079,inconsistent,0,0,0.241,0.646,0.556,0.326,0.674,0.279,0.806,0.84,0.247,0.27,11
95,recycling,18-25,rural,0.791,0.922,0.821,0.0014,0.081,sustained,0,0,0.328,0.655,0.503,0.939,0.985,0.374,0.479,0.975,0.723,0.545,0
96,public_transport,18-25,suburban,0.683,0.818,0.588,-0.0058,0.113,sustained,0,0,0.136,0.477,0.283,0.598,0.715,0.67,0.291,0.31,0.785,0.931,0
97,public_transport,26-40,urban,0.921,0.908,0.851,-0.004,0.029,sustained,0,0,0.885,0.677,0.847,0.784,0.836,0.448,0.605,0.743,0.568,0.579,0
98,recycling,41-60,suburban,0.798,0.888,0.751,-0.003,0.069,sustained,0,0,0.466,0.74,0.786,0.837,0.418,0.24,0.543,0.718,0.827,0.58,0
99,recycling,26-40,urban,0.749,0.743,0.521,-0.0131,0.101,faded,1,0,0.589,0.561,0.39,0.603,0.6,0.489,0.518,0.296,0.542,0.868,0
100,recycling,41-60,urban,0.536,0.495,0.275,-0.0143,0.105,faded,1,0,0.441,0.179,0.517,0.3,0.16,0.311,0.885,0.656,0.51,0.213,0
101,healthy_eating,18-25,urban,0.803,0.867,0.779,-0.0015,0.052,sustained,0,0,0.506,0.754,0.421,0.722,0.876,0.15,0.881,0.396,0.68,0.252,0
102,fitness,26-40,suburban,0.788,0.81,0.596,-0.0107,0.091,sustained,0,0,0.598,0.821,0.788,0.227,0.496,0.523,0.586,0.184,0.729,0.618,0
103,public_transport,41-60,urban,0.786,0.777,0.561,-0.0125,0.097,sustained,0,0,0.669,0.899,0.628,0.521,0.541,0.167,0.943,0.307,0.088,0.529,15
104,digital_wellbeing,26-40,urban,0.7,0.65,0.333,-0.0209,0.152,reverted,1,0,0.595,0.5,0.388,0.32,0.588,0.351,0.823,0.128,0.875,0.13,12
105,healthy_eating,41-60,suburban,0.694,0.613,0.314,-0.0214,0.152,reverted,1,1,0.68,0.179,0.738,0.229,0.383,0.273,0.592,0.554,0.663,0.402,0
106,digital_wellbeing,18-25,rural,0.601,0.584,0.335,-0.0155,0.121,reverted,1,0,0.359,0.11,0.161,0.296,0.121,0.188,0.651,0.806,0.794,0.546,8
107,fitness,26-40,urban,0.773,0.782,0.609,-0.0091,0.077,sustained,0,0,0.618,0.728,0.221,0.464,0.644,0.413,0.352,0.995,0.471,0.426,0
108,recycling,26-40,urban,0.67,0.812,0.606,-0.0041,0.111,sustained,0,0,0.079,0.432,0.228,0.451,0.812,0.366,0.257,0.714,0.846,0.557,0
109,public_transport,41-60,urban,0.67,0.735,0.506,-0.0099,0.106,inconsistent,0,0,0.239,0.611,0.366,0.522,0.78,0.678,0.571,0.115,0.826,0.836,0
110,healthy_eating,41-60,urban,0.772,0.856,0.659,-0.0064,0.084,sustained,0,0,0.456,0.596,0.255,0.886,0.903,0.679,0.302,0.815,0.24,0.867,16
111,recycling,18-25,urban,0.497,0.57,0.36,-0.0083,0.086,inconsistent,0,0,0.226,0.466,0.659,0.511,0.095,0.316,0.683,0.536,0.188,0.301,11
112,digital_wellbeing,26-40,rural,0.805,0.817,0.597,-0.0118,0.093,sustained,0,0,0.692,0.528,0.766,0.759,0.563,0.674,0.66,0.659,0.303,0.73,0
113,public_transport,26-40,urban,0.719,0.68,0.518,-0.012,0.087,faded,1,0,0.663,0.681,0.113,0.125,0.631,0.274,0.595,0.614,0.738,0.475,0
114,recycling,26-40,suburban,0.836,0.767,0.488,-0.0196,0.138,faded,1,0,0.931,0.748,0.468,0.473,0.375,0.47,0.441,0.378,0.36,0.344,0
115,healthy_eating,18-25,urban,0.819,0.817,0.612,-0.0121,0.094,sustained,0,0,0.699,0.185,0.492,0.478,0.985,0.715,0.269,0.742,0.736,0.5,0
116,public_transport,26-40,suburban,0.799,0.774,0.465,-0.0197,0.144,faded,1,0,0.708,0.602,0.631,0.392,0.68,0.442,0.562,0.196,0.651,0.28,0
117,recycling,26-40,suburban,0.688,0.619,0.426,-0.0148,0.105,faded,1,0,0.698,0.625,0.15,0.477,0.272,0.809,0.421,0.772,0.554,0.786,0
118,healthy_eating,26-40,suburban,0.56,0.673,0.387,-0.0106,0.123,reverted,1,0,0.122,0.459,0.367,0.531,0.409,0.604,0.43,0.757,0.207,0.8,16
119,public_transport,41-60,suburban,0.656,0.68,0.37,-0.0166,0.131,reverted,1,0,0.439,0.156,0.72,0.486,0.862,0.814,0.856,0.73,0.544,0.55,21
120,healthy_eating,18-25,suburban,0.658,0.687,0.487,-0.0099,0.089,inconsistent,0,0,0.415,0.621,0.323,0.531,0.789,0.389,0.539,0.461,0.12,0.443,0
121,recycling,18-25,suburban,0.779,0.856,0.742,-0.0023,0.065,sustained,0,0,0.4,0.864,0.348,0.568,0.544,0.182,0.277,0.43,0.544,0.471,0
122,healthy_eating,26-40,urban,0.876,0.913,0.802,-0.0042,0.051,sustained,0,0,0.668,0.717,0.813,0.511,0.815,0.141,0.274,0.515,0.561,0.658,0
123,healthy_eating,41-60,urban,0.708,0.785,0.507,-0.0114,0.12,faded,1,0,0.307,0.49,0.585,0.413,0.993,0.73,0.572,0.616,0.603,0.455,18
124,digital_wellbeing,60+,suburban,0.808,0.877,0.696,-0.0068,0.078,sustained,0,0,0.536,0.587,0.662,0.469,0.975,0.511,0.175,0.413,0.329,0.692,9
125,digital_wellbeing,41-60,urban,0.516,0.441,0.216,-0.017,0.12,faded,1,0,0.726,0.327,0.514,0.355,0.227,0.808,0.894,0.298,0.122,0.606,0
126,healthy_eating,26-40,suburban,0.704,0.793,0.576,-0.008,0.098,sustained,0,0,0.331,0.266,0.749,0.867,0.877,0.419,0.946,0.485,0.667,0.482,10
127,recycling,41-60,suburban,0.835,0.725,0.528,-0.0172,0.12,faded,1,1,0.875,0.134,0.888,0.275,0.7,0.38,0.915,0.732,0.805,0.682,8
128,digital_wellbeing,26-40,urban,0.803,0.813,0.557,-0.0144,0.112,sustained,0,0,0.641,0.574,0.647,0.524,0.746,0.603,0.67,0.295,0.555,0.656,0
129,fitness,26-40,rural,0.714,0.693,0.493,-0.0124,0.092,faded,1,0,0.63,0.563,0.648,0.311,0.221,0.535,0.465,0.783,0.709,0.431,0
130,public_transport,26-40,suburban,0.912,0.914,0.81,-0.0057,0.045,sustained,0,0,0.838,0.431,0.792,0.974,0.767,0.365,0.639,0.598,0.934,0.685,15
131,fitness,41-60,urban,0.727,0.791,0.518,-0.0123,0.118,faded,1,0,0.377,0.647,0.623,0.619,0.331,0.287,0.642,0.845,0.805,0.726,0
132,healthy_eating,26-40,suburban,0.775,0.863,0.748,-0.0016,0.066,sustained,0,0,0.434,0.412,0.858,0.822,0.952,0.749,0.484,0.61,0.529,0.727,0
133,digital_wellbeing,41-60,suburban,0.776,0.837,0.633,-0.008,0.088,sustained,0,0,0.479,0.826,0.888,0.557,0.288,0.191,0.444,0.612,0.499,0.216,18
134,public_transport,41-60,suburban,0.76,0.823,0.612,-0.0086,0.09,sustained,0,0,0.448,0.27,0.891,0.791,0.503,0.448,0.652,0.19,0.781,0.46,17
135,healthy_eating,26-40,urban,0.852,0.761,0.439,-0.023,0.163,faded,1,1,0.811,0.738,0.622,0.83,0.285,0.682,0.667,0.617,0.922,0.693,7
136,public_transport,26-40,suburban,0.793,0.795,0.606,-0.0105,0.082,sustained,0,0,0.672,0.74,0.626,0.703,0.547,0.583,0.516,0.594,0.565,0.81,15
137,healthy_eating,26-40,urban,0.767,0.808,0.52,-0.0141,0.121,faded,1,0,0.501,0.812,0.399,0.34,0.754,0.401,0.238,0.411,0.524,0.35,0
138,digital_wellbeing,18-25,suburban,0.803,0.74,0.549,-0.0138,0.098,faded,1,0,0.868,0.599,0.202,0.87,0.719,0.914,0.366,0.539,0.201,0.66,9
139,public_transport,41-60,urban,0.715,0.788,0.564,-0.0092,0.099,sustained,0,0,0.332,0.277,0.327,0.846,0.368,0.288,0.431,0.478,0.858,0.856,0
140,public_transport,41-60,urban,0.706,0.698,0.581,-0.0064,0.052,sustained,0,0,0.704,0.583,0.526,0.467,0.19,0.132,0.473,0.399,0.223,0.929,0
141,public_transport,26-40,urban,0.741,0.849,0.73,-0.001,0.076,sustained,0,0,0.325,0.723,0.742,0.809,0.69,0.174,0.455,0.345,0.296,0.398,0
142,fitness,26-40,urban,0.743,0.782,0.504,-0.0135,0.115,faded,1,0,0.493,0.508,0.715,0.336,0.434,0.27,0.713,0.819,0.468,0.696,19
143,recycling,26-40,urban,0.737,0.76,0.583,-0.0091,0.082,sustained,0,0,0.483,0.329,0.166,0.438,0.245,0.108,0.231,0.629,0.675,0.87,0
144,public_transport,18-25,rural,0.714,0.751,0.604,-0.0062,0.065,sustained,0,0,0.519,0.506,0.362,0.749,0.603,0.43,0.346,0.521,0.508,0.218,0
145,digital_wellbeing,26-40,urban,0.59,0.618,0.327,-0.0151,0.128,reverted,1,0,0.248,0.233,0.631,0.783,0.467,0.827,0.631,0.666,0.524,0.476,17
146,recycling,26-40,rural,0.838,0.85,0.687,-0.0083,0.072,sustained,0,0,0.667,0.491,0.616,0.691,0.787,0.613,0.093,0.354,0.761,0.537,0
147,recycling,26-40,suburban,0.804,0.82,0.572,-0.0132,0.106,sustained,0,0,0.659,0.547,0.231,0.556,0.815,0.468,0.904,0.854,0.745,0.818,0
148,fitness,26-40,suburban,0.642,0.79,0.695,0.0024,0.089,sustained,0,0,0.11,0.442,0.715,0.525,0.661,0.403,0.413,0.462,0.389,0.274,0
149,healthy_eating,60+,urban,0.755,0.803,0.716,-0.0021,0.043,sustained,0,0,0.543,0.759,0.761,0.825,0.348,0.391,0.61,0.275,0.244,0.485,0
150,fitness,18-25,urban,0.788,0.758,0.435,-0.0204,0.15,faded,1,0,0.678,0.718,0.185,0.768,0.394,0.741,0.378,0.237,0.784,0.492,0
151,recycling,60+,rural,0.615,0.644,0.494,-0.007,0.075,inconsistent,0,0,0.348,0.23,0.46,0.568,0.316,0.252,0.84,0.247,0.562,0.931,0
152,digital_wellbeing,26-40,rural,0.828,0.831,0.658,-0.0099,0.08,sustained,0,0,0.678,0.721,0.524,0.541,0.291,0.177,0.281,0.249,0.426,0.897,10
153,public_transport,60+,urban,0.75,0.693,0.442,-0.0176,0.124,faded,1,0,0.73,0.535,0.416,0.496,0.808,0.684,0.674,0.665,0.46,0.172,12
154,digital_wellbeing,18-25,urban,0.737,0.656,0.328,-0.0231,0.162,reverted,1,1,0.82,0.149,0.449,0.095,0.978,0.594,0.79,0.613,0.548,0.533,17
155,fitness,26-40,rural,0.752,0.79,0.492,-0.0152,0.129,faded,1,0,0.475,0.752,0.676,0.427,0.367,0.568,0.42,0.734,0.733,0.924,14
156,recycling,60+,urban,0.762,0.804,0.601,-0.0092,0.09,sustained,0,0,0.466,0.615,0.857,0.387,0.722,0.457,0.61,0.36,0.711,0.602,0
157,public_transport,41-60,urban,0.645,0.745,0.609,-0.0023,0.079,sustained,0,0,0.212,0.969,0.268,0.765,0.672,0.703,0.404,0.399,0.498,0.513,0
158,recycling,26-40,urban,0.926,0.889,0.675,-0.0141,0.101,sustained,0,0,0.983,0.793,0.514,0.809,0.67,0.235,0.453,0.546,0.249,0.443,0
